x1,y1,z1,x2,y2,z2
18.0,34.0,2.2094548551959114,7.0,30.0,5.582156133828996
18.0,31.0,5.363791989664081,7.0,25.0,4.4962174940898345
6.0,26.0,10.749710144927537,8.0,25.0,11.196536796536797
18.0,30.0,9.98393665158371,14.0,30.0,3.1477140482128014
18.0,29.0,4.929196009389671,0.0,32.0,15.87638888888889
18.0,33.0,5.4408730158730165,10.0,29.0,8.888996763754045
18.0,25.0,13.681561561561562,1.0,29.0,13.399305555555554
6.0,24.0,7.1113354037267085,5.0,29.0,4.72972972972973
18.0,28.0,7.896888090963498,14.0,33.0,2.207688888888889
18.0,33.0,7.015933715742511,9.0,34.0,4.931311274509803
0.0,33.0,4.641666666666668,12.0,27.0,36.62697262479871
18.0,25.0,3.7662459546925566,3.0,25.0,24.74712643678161
18.0,35.0,15.554216467463482,9.0,35.0,6.101555555555557
18.0,25.0,9.773793859649125,14.0,25.0,6.793893480257116
18.0,30.0,3.6571329157967982,15.0,25.0,19.67874531835206
18.0,28.0,5.536204854943754,6.0,35.0,5.096326164874552
18.0,34.0,24.60738276299113,15.0,30.0,1.1875
18.0,27.0,2.90355466130114,13.0,28.0,5.399944629014396
17.0,32.0,4.031528871391077,1.0,24.0,20.588353413654616
18.0,29.0,11.498499361430397,9.0,32.0,18.625036710719527
18.0,25.0,4.18786941580756,7.0,37.0,4.535786802030457
18.0,26.0,4.173569023569024,14.0,35.0,6.401197916666665
18.0,33.0,2.214419852448021,0.0,28.0,7.936274509803922
18.0,26.0,16.372465208747514,4.0,27.0,2.1118863049095604
18.0,25.0,2.152055800293686,9.0,26.0,6.984051036682617
17.0,25.0,3.7631612492033137,8.0,35.0,5.138194444444445
18.0,25.0,11.983625162127106,14.0,25.0,2.6493670886075953
0.0,23.0,5.385209713024282,14.0,25.0,0.7846618357487922
18.0,25.0,4.663873542050337,11.0,25.0,5.430733944954128
18.0,33.0,7.669659863945576,8.0,30.0,6.145767195767196
15.0,30.0,5.462482710926695,16.0,25.0,4.937325349301397
18.0,31.0,2.5517882689556513,11.0,33.0,1.4338427947598253
18.0,31.0,6.598366013071897,6.0,25.0,4.518248175182482
18.0,26.0,5.933333333333332,7.0,28.0,8.346666666666666
18.0,33.0,9.281063829787234,5.0,24.0,5.854461942257218
18.0,29.0,7.551724137931034,9.0,27.0,7.272099447513811
18.0,32.0,67.6845193508115,10.0,25.0,23.627475247524757
18.0,31.0,9.973226072607261,11.0,25.0,7.7215189873417724
4.0,30.0,0.0,8.0,24.0,0.4301675977653632
18.0,27.0,1.8574159021406724,8.0,25.0,8.981052631578947
18.0,36.0,27.15769230769232,4.0,24.0,2.240963855421686
18.0,33.0,3.769300225733633,3.0,24.0,0.012658227848101264
18.0,25.0,10.875292397660818,4.0,32.0,5.918367346938777
17.0,32.0,2.855203784570597,0.0,25.0,83.17237339380196
